City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
219,mutuali,-14.8706,37.0044,302.44,62,100,0.84,MZ,1704542248
220,zhanaozen,43.3,52.8,281.93,73,100,6.59,KZ,1704542249
221,quellon,-43.1167,-73.6167,285.09,86,2,0.52,CL,1704542250
222,lihue,21.9789,-159.3672,292.79,84,61,1.0,US,1704542251
223,claveria,18.6074,121.0832,296.28,84,88,5.81,PH,1704542253
224,embi,48.8264,58.1442,272.08,95,97,2.62,KZ,1704542253
225,qarazhal,48.0078,70.7903,267.08,92,97,2.08,KZ,1704542254
226,saynshand,44.8824,110.1163,253.38,92,4,2.3,MN,1704542255
227,bardai,11.65,7.2333,304.35,10,20,4.08,NG,1704542256
228,westport,41.1415,-73.3579,272.45,61,91,1.07,US,1704542257
229,sandnessjoen,66.0217,12.6316,263.44,83,100,4.09,NO,1704542258
230,sulak,43.2734,47.5146,283.78,60,65,9.33,RU,1704542258
231,mount pearl,47.5166,-52.7813,268.34,89,100,13.38,CA,1704542259
232,aleksandrovskoye,44.7142,43.0008,280.01,54,46,7.9,RU,1704542260
233,burang,30.25,81.1667,266.92,48,2,1.31,CN,1704542261
234,kelibia,36.8476,11.0939,287.29,67,40,5.66,TN,1704542262
235,boda,4.3189,17.4695,309.6,12,21,2.97,CF,1704542262
236,juneau,58.3019,-134.4197,272.27,100,88,1.06,US,1704542263
237,labrador city,52.9463,-66.9114,249.1,70,75,8.23,CA,1704542264
238,olonkinbyen,70.9221,-8.7187,267.97,92,100,4.71,SJ,1704542265
239,tsengel,49.4783,100.8894,253.69,87,81,1.99,MN,1704542266
240,masterton,-40.9597,175.6575,285.31,96,23,0.62,NZ,1704542266
241,san luis de la loma,17.2706,-100.8939,296.15,71,1,1.65,MX,1704542267
242,suwayr,30.1171,40.3893,291.67,50,88,2.35,SA,1704542268
243,metlili chaamba,32.2667,3.6333,286.85,29,82,11.28,DZ,1704542054
244,mata-utu,-13.2816,-176.1745,301.5,78,100,4.83,WF,1704542269
245,xining,36.6167,101.7667,270.9,32,5,0.35,CN,1704542270
246,gisborne,-38.6533,178.0042,288.08,84,73,2.75,NZ,1704542107
247,nouadhibou,20.931,-17.0347,295.14,33,0,5.14,MR,1704542271
248,keflavik,64.0049,-22.5624,273.39,74,75,3.6,IS,1704542272
249,kununurra,-15.7667,128.7333,301.14,83,45,3.09,AU,1704542272
250,afaahiti,-17.75,-149.2833,297.08,89,100,4.77,PF,1704542273
251,daru,-9.0763,143.2092,300.94,82,100,3.48,PG,1704542274
252,zhigalovo,54.8097,105.1578,255.29,91,97,0.8,RU,1704542275
253,udachny,66.4167,112.4,245.75,94,100,3.63,RU,1704542281
254,berdigestyakh,62.0989,126.6992,227.54,100,78,0.44,RU,1704542282
255,egilsstadir,65.2653,-14.3948,272.1,74,75,3.09,IS,1704542285
256,sechura,-5.5569,-80.8222,295.55,81,91,4.69,PE,1704542287
257,alajarvi,63.0,23.8167,251.15,99,19,1.25,FI,1704542288
258,praya,14.9215,-23.5087,300.45,44,20,6.17,CV,1704542288
259,the pas,53.8251,-101.2541,250.16,84,0,1.03,CA,1704542289
260,kaa-khem,51.6833,94.7333,252.82,94,100,0.23,RU,1704542290
261,kamaishi,39.2667,141.8833,277.87,81,58,2.4,JP,1704542091
262,clarence-rockland,45.5501,-75.291,265.05,73,74,2.55,CA,1704542292
263,nadi,-17.8,177.4167,298.15,83,75,2.57,FJ,1704542293
264,naryn,41.4287,75.9911,264.45,74,47,3.11,KG,1704542294
265,fasa,28.9383,53.6482,290.73,19,0,4.12,IR,1704542294
266,abyek,36.0667,50.55,281.96,55,71,5.51,IR,1704542295
267,talara,-4.5772,-81.2719,296.32,81,98,5.68,PE,1704542296
268,luena,-11.7833,19.9167,299.25,61,100,1.03,AO,1704542296
269,gualan,15.1333,-89.3667,292.76,92,20,1.91,GT,1704542297
270,ouadda,8.0777,22.4007,308.82,9,14,1.83,CF,1704542298
271,capela do alto,-23.4706,-47.7347,301.42,54,43,3.56,BR,1704542298
272,murun-kuren,49.6342,100.1625,256.22,81,88,1.14,MN,1704542299
273,waddan,29.1614,16.139,299.46,12,1,9.52,LY,1704542300
274,yekaterinburg,56.8575,60.6125,251.31,92,16,1.0,RU,1704542301
275,luuq,3.7938,42.5445,309.34,21,60,6.0,SO,1704542301
276,praia,14.9215,-23.5087,300.45,44,20,6.17,CV,1704542302
277,puerto carreno,6.189,-67.4859,298.14,83,0,4.63,CO,1704542303
278,nambucca,-30.6333,152.9833,295.96,75,88,2.69,AU,1704542303
279,danjiangkou,32.5428,111.5086,281.67,46,7,4.2,CN,1704542304
280,barah,13.7,30.3667,300.9,14,17,3.38,SD,1704542305
281,grand falls-windsor,48.9332,-55.6649,263.99,77,94,2.24,CA,1704542305
282,moroni,-11.7022,43.2551,299.43,88,100,4.49,KM,1704542306
283,atafu village,-8.5421,-172.5159,301.78,71,100,2.44,TK,1704542307
284,port mathurin,-19.6833,63.4167,301.61,73,51,0.32,MU,1704542308
285,sierra grande,-41.606,-65.3557,293.54,34,65,7.93,AR,1704542310
286,moses lake,47.1301,-119.2781,274.2,63,100,5.91,US,1704542310
287,qaqortoq,60.7167,-46.0333,271.59,73,100,2.71,GL,1704542311
288,tchintabaraden,15.8969,5.7985,303.66,8,4,5.55,NE,1704542312
289,puerto aysen,-45.4,-72.7,284.81,88,60,1.61,CL,1704542313
290,vernon,50.2581,-119.2691,275.49,92,100,0.89,CA,1704542314
291,essaouira,31.5125,-9.77,293.87,40,50,2.06,MA,1704542315
292,naze,28.3667,129.4833,287.66,67,43,6.54,JP,1704542206
293,quepos,9.4236,-84.1652,297.17,65,78,2.02,CR,1704542317
294,griffith,41.5284,-87.4237,273.11,91,100,2.06,US,1704542318
295,colonia,50.9333,6.95,278.63,88,100,3.6,DE,1704542318
296,rura,26.4833,79.9,290.94,65,5,2.14,IN,1704542319
297,luoyang,34.6836,112.4536,277.26,42,0,4.12,CN,1704542172
298,ofunato,39.0717,141.7167,277.12,84,67,3.16,JP,1704542234
299,vikhorevka,56.1201,101.1636,257.92,91,100,1.98,RU,1704542323
300,waingapu,-9.6567,120.2641,301.69,76,90,1.59,ID,1704542323
301,egersund,58.4513,5.9997,266.53,47,8,2.28,NO,1704542324
302,conduaga,8.862,117.4893,300.22,85,88,3.65,PH,1704542325
303,sicuani,-14.2694,-71.2261,281.49,85,100,0.66,PE,1704542326
304,nizhnyaya tavda,57.6731,66.1725,244.62,99,8,1.67,RU,1704542327
305,lazarevskoye,43.9061,39.3331,284.06,76,28,6.75,RU,1704542328
306,tan-tan,28.438,-11.1032,292.12,59,75,5.66,MA,1704542329
307,nova sintra,14.8667,-24.7167,294.3,70,0,6.59,CV,1704542330
308,bagan,54.1001,77.6646,254.41,99,86,2.97,RU,1704542332
309,vilyuysk,63.7553,121.6247,227.04,100,59,0.45,RU,1704542333
310,hell-ville,-13.4,48.2667,304.08,71,20,3.09,MG,1704542334
311,richfield,44.8833,-93.283,272.16,90,75,2.57,US,1704542335
312,prestea,5.4327,-2.1428,307.83,42,28,2.04,GH,1704542336
313,kapa'a,22.0752,-159.319,293.2,84,58,1.31,US,1704542337
314,skelleftea,64.7507,20.9528,249.35,93,20,2.06,SE,1704542100
315,kirkwall,58.9848,-2.9587,280.18,76,75,6.17,GB,1704542339
316,jayapura,-2.5333,140.7,298.81,85,95,1.68,ID,1704542340
